Noun,Noun_Description,Adjective,Adjective_Synonyms,Rating,Is_Humorous,Sentiment,Is_Ironic,Is_Punny
Vanilla Pudding,"Now available frozen, on a stick.",Touchy Feely,"affectionate, tactile, huggy",0,1,1,1,1
Yo-Yos,There are lots of tricks that you can do with a yo-yo.,Overwhelming,"exhaustive, breathtaking, monumental",0,1,1,1,0
Big Bang Theory,A cosmological theory for the origin of the universe. An explosive idea!,Eternal,"timeless, immortal, perpetual",0,0,1,0,0
Collection Shells,She sells seashells by the seashore.,Clear,"understandable, uncluttered, transparent",0,0,1,0,0
Hamsters,These little rodents store food in their cheeks.,Up & Coming,"promising, enterprising, gifted",0,1,1,1,0
Abbot & Costello,"Comedy team who had everyone guessing  ""Who's on first?""",Hot & Muggy,"sultry, humid, oppressive",0,0,-1,0,0
Surfing The Net,www.otbgames.com,Meek,"shy, mild, timid",0,1,-1,1,0
Mashed Potatoes,Pile them up like a volcano and put butter in the middle.,Innocent,"guiltless, pure, naive",0,0,1,0,0
Judge Judy,"Ms. Sheindlin presides over reallife cases on this TV courtroom show. ""I'm the boss, applesauce!""",Plug & Play,"effortless, automatic, self",0,0,1,0,0
Nobel Peace Prize,Established by Alfred Nobel. Swedish industrialist and inventor of dynamite. Led to an explosion of peace efforts.,Shocking,"frightening, electrifying, startling",0.2,0,1,1,0
A Fairy,"A tiny creature who has magical powers and can fly, like Tinkerbell.",Grungy,"dirty, shabby, seedy",-0.4,1,-1,1,0
Freedom,Express yourself!,Nasty,"mean, wicked",-0.2,0,-1,1,0
Large Mouth Bass,"Oh, please, let it not sing ...",Lucky,"fortunate, favored",0,1,1,1,0
Ear Wax,"A waxy, yellowish substance that protects the ear from dust, bacteria, and from hearing things you don't want to hear.",Soft,"not hard, tender",0.5,0,1,0,0
My Best Friend,"A person you can trust, no matter what.",Exhausting,"weakening, tiring, draining",-0.3,0,-1,1,0
The Police,They keep order and arrest those who break the law.,Timeless,"classic, ageless, well established",0.2,0,1,0,1
Sunshine,Warms the Earth and helps plants to grow.,European,"of Europe, from Europe, about Europe",0,0,1,0,0
Johnny Depp,"1963, American actor and heartthrob. From CryBaby to The Man Who Cried",Clean,"spotless, clear",0,0,1,0,0
School Lunch,"Hot lunch, cold lunch, or bring your own lunch.",Phony,"false, artificial, imitation",0,0,-1,0,0
Snoopy,"The little, white beagle from the ""Peanuts"" cartoon.",Fascinating,"interesting, attractive",0.2,0,1,0,1
Flowers & Candy,"When ""I'm sorry"" is not enough.",Rich,"wealthy, not poor",0,0,1,0,0
Screeching,Please stop.,Crisp,"brittle, brisk, fresh",0,0,-1,0,0
Phone & Fax,Soon you won't need to leave the house at all!,Sporty,"athletic, active",0,0,1,0,0
Regis Philbin,"1934 , American talk and game show host. Who wants to be a millionaire? Regis, apparently.",Dead,"deceased, expired, unresponsive",0.2,0,-1,0,0
A Spare Tire,The good news is: we have a spare tire . . .,Old & Cranky,"crabby, cantankerous, aged",0,1,-1,1,0
The Library,"Books, magazines, newspapers, tapes, and computers. SHHHH!",Healthy,"not sick, well",0,0,1,0,0
Dirty Dishes,That's why they make paper plates!,Bumpy,"lumpy, bouncy",0,0,-1,0,0
Dirty Diapers,It must be time to change the baby!,Short & Stout,"plump, portly, tubby",0,1,-1,0,0
Jack The Ripper,"Accused of murdering six women in 1888, and suspected in other murders. Still at large.",Worldly,"experienced, sophisticated, materialistic",0,0,-1,0,0
Pokemon,"A video game, card game and television show. I like Pikachu.",Chunky,"lumpy, chubby, bumpy",0,0,-1,0,0
Tomato Soup,Good with cheese sandwiches.,Neat,"clean, orderly",0,1,1,1,0
Cary Grant,"1904-86, Britishborn American actor known for his debonair manner. He can be found North by Northwest.",Wash & Wear,"durable, easy",0,0,1,0,0
Jimmy Stewart,"190897, America's favorite selfimage. Mr. Smith Goes to Washington, Rear Window, Vertigo, and It's a Wonderful Life, ... and it probably was.",Delightful,"pleasing, enjoyable, charming",0.2,1,1,0,0
Grapes,"Small round fruit that grows in bunches, usually purple, red or green. They make good snacks!",Extreme,"exceptional, superlative, radical",0,1,1,1,0
A Crown,A crown is a symbol of royalty.,Refreshing,"brisk, invigorating, rejuvenating",0,0,1,0,0
Crystal Balls,I see a Green Apple card in your future.,Lewd & Lascivious,"lustful, obscene, indecent",0.1,1,-1,0,1
Telling Scary Stories,"""It was a dark and stormy night . . .""",Phony,"false, artificial, imitation",0.2,0,-1,0,0
Mustard,Made from seeds of the mustard plant. Spread on pretzels and hotdogs.,Pathetic,"pitiful, distressing, heart",0,1,-1,1,0
Hiding Places,It's a secret.,Loud,"noisy, not quiet",-0.4,0,-1,1,0
Girls,"""Sugar and spice and everything nice.""",Healthy,"not sick, well",0,0,1,0,0
Telling Scary Stories,"""It was a dark and stormy night . . .""",Large,"big, not small",0,0,1,0,0
Cattle Ranch,Home on the range.,Vain,"conceited, arrogant, fruitless",0,0,-1,0,0
Baby Showers,Baby showers may bring flowers ...,Refreshing,"brisk, invigorating, rejuvenating",0.2,1,1,0,1
Rock & Roll,It'll never die. Unlike Rock and Roll musicians.,Polite,"respectful, well",-0.3,0,1,1,0
Forever & Ever,"""Oh baby, I'm gonna love you forever / Forever and ever amen.""  Randy Travis",Icky,"sickening, disgusting, repulsive",0,0,-1,0,0
Power Drills,"Carpenters use them, and so do dentists.",Nutty,"kooky, foolish, nutlike",0,1,1,0,0
Maple Syrup,"Made from the sweet sap of the maple tree or black maple tree, produced only in North America  a ""must have"" for pancakes.",Elderly,"old, aged",0,1,1,0,0
Sparklers,They're still fireworks!,Absurd,"ridiculous, senseless, foolish",0,0,1,0,0
Country Music,"Encompassing styles such as western swing, honkytonk, bluegrass and rockabilly. Should mention a pickup truck and a dog named ""Bo.""",Boring,"not interesting, dull",0,0,-1,0,0
Hammerhead Sharks,The name for these sharks comes from the unusual shape of their heads.,Crazed,"insane, wild, deranged",0.3,0,-1,0,0
Swans,"The ""Ugly Duckling"" was actually a baby swan.",Tempting,"seductive, enticing, alluring",0,1,1,1,0
Forever & Ever,"""Oh baby, I'm gonna love you forever / Forever and ever amen.""  Randy Travis",Dull,"not sharp, plain",0,0,-1,0,0
Jerry Springer,"1944 , controversial talkshow host. Don't those people know that millions of us are watching?",Black & White,"indisputable, distinct, written",0,0,-1,0,0
Loan Sharks,"As dangerous as ""Jaws"", but without the charisma.",Enormous,"huge, gigantic",0,0,-1,0,1
Casablanca,"The largest city in Morocco, and one heck of a good movie. ""Of all the gin joints in all the towns in all the world...""",Snappy,"stylish, trendy, fast",0.3,0,1,0,0
Violins,"It's a pain in the neck, but keep practicing.",Chunky,"lumpy, chubby, bumpy",-0.2,0,1,1,0
James Dean,"1931-55, American actor of film, stage, and television. His role in Rebel Without a Cause helped define ""cool.""",Pale,"faded, colorless",0,0,1,0,0
Hammerhead Sharks,The name for these sharks comes from the unusual shape of their heads.,Vain,"conceited, arrogant, fruitless",0,0,-1,0,0
Black Lingerie,Victoria's REAL secret: selling skimpy negligees at hefty price . . .,Light & Fluffy,"billowy, airy, soft",0.2,0,1,0,0
Curds & Whey,What? It's just cottage cheese?,Obnoxious,"offensive, repulsive, annoying",0,0,-1,1,0
Whales,Very large animals that live in oceans. They squirt water from a blowhole.,Timeless,"classic, ageless, well established",0.3,0,1,0,0
Dolphins,"Dolphins are mammals that live in the sea, and Sea World.",Juicy,"wet, squishy",0,1,1,0,0
Blizzard,"Extreme cold, strong winds, and a head snowfall. Also known as Canada.",Perfect,"ideal, wonderful",0,0,-1,0,0
Cheese Sandwich,"Two pieces of bread and a slice of cheese. Grill it, if you want.",Boisterous,"loud, rambunctious, rowdy",0,1,1,1,0
Lego Building Blocks,Get more blocks! We're building the Golden Gate Bridge.,Torn & Tattered,"shabby, ragged, grungy",-0.1,0,-1,1,0
Food & Shelter,Gotta have it.,Ugly,"not pretty, unpleasant",0,0,-1,0,0
The Atlantic & Pacific,Oceans apart.,Scary,"frightening, spooky",0.2,0,-1,0,0
Recess,My favorite subject in school!,Hot & Muggy,"sultry, humid, oppressive",0,0,-1,0,0
Hamsters,These little rodents store food in their cheeks.,Dysfunctional,"impaired, damaged, maladjusted",0,1,-1,1,0
The BabySitters Club,"This series of books, written by Ann M. Martin, is a favorite of girls, worldwide.",Perfect,"ideal, wonderful",0.2,0,1,0,0
Leeches,"Any mention of lawyers, agents, or reporters would be FAR too easy ...",Favorite,"preferred, desired",-0.2,0,1,1,0
A Microwave Oven,You'll have popcorn in two minutes.,Disgusting,"sickening, horrible",0.1,0,-1,0,0
Andy Warhol,"1928-87, American painter and filmmaker, a leader of the pop art movement. Famous for slightly more than 15 minutes.",Evil,"wicked, corrupt, depraved",0,0,-1,0,0
Catfish,Fish with feelers that look like whiskers.,Irritating,"annoying, troublesome, provoking",0.4,1,-1,0,1
Sparklers,They're still fireworks!,Manly,"masculine, virile, strong",-0.2,1,1,1,0
The Super Bowl,Who needs another national holiday?,Wired,"strained, tense, nervous",0,0,1,0,0
Andy Warhol,"1928-87, American painter and filmmaker, a leader of the pop art movement. Famous for slightly more than 15 minutes.",Refined,well read,0.4,0,1,0,0
Loan Sharks,"As dangerous as ""Jaws"", but without the charisma.",Adorable,"lovable, cute",-0.3,0,1,1,0
Reggae Music,"This contemporary Caribbean music, originating in Jamaica, remains an influential style of popular music. Ya mon!",Loud & Clear,"definite, explicit, unequivocal",0.2,1,1,0,1
Babe Ruth,"1895-1948, American baseball legend, and one heck of a candy bar!",Lumpy,"bumpy, clumpy",0.2,1,-1,0,0
Dump Trucks,"Large trucks that carry dirt, sand, and rocks.",Wonderful,"great, excellent",0,1,1,0,1
Mount Rushmore,Memorial carved into the side of the Black Hills in South Dakota. Heads above all other monuments.,Quick & Dirty,"cheap, shoddy, inferior",0,0,-1,1,0
Water Guns,Don't take them to school!,Thoughtful,"caring, unselfish",0,0,1,0,0
Ballroom Dancing,"Foxtrots, tangos, chachas, and more! Are you ready to rumba?",Selfish,"stingy, greedy, miserly",0,1,-1,1,0
Fred & Ginger,Fred Astair & Ginger Rogers  tap dancing their way into the hearts of millions.,Hot & Bothered,"annoyed, irritated, provoked",0,1,1,0,0
Woody Allen,"1935 , American comedian, actor and director, of Bananas, Annie Hall, Hannah and Her Sisters, and lots of New York Stories.",Hot & Bothered,"annoyed, irritated, provoked",0,1,-1,0,0
A Pile Of Leaves,Rake them up and jump in!,Squeaky Clean,"pure, immaculate, unapproachable",0,0,1,0,0
Plane Crashes,Statistically safer than driving ... unless you crash.,Wicked,"evil, corrupt, depraved",0.3,0,-1,0,1
Parenting,The process of discovering you are becoming just like YOUR parents.,Unusual,"rare, odd, uncommon",0.3,0,-1,0,0
The Old Man And The Sea,"Ernest Hemingway's classic novel  fishing, hunger, fishing, torment, fishing, personal loss ... fishing ...",Dumb,"silent, not smart",-0.4,0,-1,1,0
Intellectuals,They think they're so smart.,Appetizing,"appealing, tasty, flavorful",0,1,1,0,0
Telling The Truth,"""There are two kinds of truth. There are real truths and there are madeup truths."" Marion Barry, exmayor of Washington, D.C.",Rare,"scarce, unusual, half",0,1,1,1,0
Hamsters,These little rodents store food in their cheeks.,Flamboyant,"ornate, pompous, extravagant",0,1,1,1,0
Lawyers,"We'd throw some joke in here, but we're afraid of getting sued.",Whimsical,"humourous, peculiar, fanciful",-0.3,1,1,1,0
Adam & Eve,A relationship of Biblical proportions.,Luxurious,"opulent, lavish, sumptuous",0,0,1,0,0
Green Beans,"Long, thin beans that you can eat raw or cooked.",Bold,"daring, courageous",0,0,1,0,0
HMOs,Heath Maintenance Organizations. Here's to your health ...,Smart,"intelligent, clever",0,0,1,0,0
Turkeys,Large birds raised for food. Popular at Thanksgiving.,Noisy,"loud, not quiet",0.3,0,-1,0,0
Cold Pizza,The breakfast of champions.,Glorious,"magnificent, delightful, splendid",0.2,1,1,0,0
Billy Crystal,"1947, American comedian, actor and director. He looks maaaaahvelous.",Mysterious,"strange, secretive",0,0,1,0,0
Spilled Milk,Got milk? WHOOPS! Apparently not ...,Complicated,"difficult, complex, involved",0,1,-1,1,0
My Job,Love it or leave it.,High & Dry,"abandoned, alone, helpless",0,1,-1,1,0
Haunted House,If there's a ghost it's haunted!,Glitzy,"flashy, showy, gaudy",-0.3,1,1,1,0
Campfire,S'mores and songs. Gather 'round!,Horrifying,"offensive, abominable, disgusting",0,0,-1,0,0
Goldie Hawn,"1945 , American actor and producer. Famous for playing ditzy blondes really well!",Icky,"sickening, disgusting, repulsive",0,0,-1,0,0
Going To The Dentist,Have you brushed your teeth today?,Spotless,"clean, pure",0.4,0,1,0,0
The Super Bowl,Who needs another national holiday?,Primitive,"prehistoric, primal, uncivilized",0.2,1,1,0,0
Bill Gates,"1955, chairman and chief software architect of Microsoft Corporation. A very rich guy.",Ideal,"perfect, flawless, model",0,0,1,0,0
The Indy 500,Contestants must drive the full 500 miles. Bathroom breaks ARE allowed.,Talented,"skillful, gifted",0.4,0,1,0,0
Charles & Diana,A right royal marriage.,Insane,"psychotic, deranged, mad",0.4,1,-1,0,0
Pole Vaulting,The sport where you can reach new heights.,Slender,"slim, small",0.2,0,1,0,0
Swiss Chocolate,"""What use are cartridges in battle? I always carry chocolate instead."" George Bernard Shaw",Realistic,"authentic, lifelike, reasonable",0,0,1,0,0
Buying A House,"If only we had the money, we could get a mortgage.",Furry,"hairy, fuzzy",0,0,1,0,0
Rocky Mountains,"These extend 2,000 miles from northeastern British Columbia to central New Mexico, and keep the Californians away from everyone else ...",Plain,"simple, dull",-0.3,0,1,1,0
The Williams Sisters,"Venus, 1980, and Serena, 1981, Williams, American tennis champs. One heck of a sister act.",Cuddly,"cozy, soft",0,0,1,0,0
Pretzels,"Pretzels were first made in Germany. Available straight, twisted, or knotted.",Wired,"strained, tense, nervous",0,0,1,0,0
Public Radio,"""Good morning . . . . . This morning . . . . . . . . . . . .we have Wolfgang . . . Amadeus Mozart . . . for your listening pleasure . . .""",Tempting,"seductive, enticing, alluring",0,1,1,0,0
Lemonade,Needs more sugar!,Hot,"very warm, heated",-0.2,1,1,1,0
My Job,Love it or leave it.,New & Improved,"upgraded, enhanced, revised",0.3,0,1,0,0
My Stuffed Animals,"The dog's name is Lucky, the bear is Teddy, and the duck is Quacker.",Selfish,"stingy, greedy, miserly",0,1,-1,1,0
Mount Vesuvius,"Italian volcano that rises above the Bay of Naples and blew its top in 79 A.D., much to Pompeii's regret.",Short,"not long, not tall",-0.3,0,-1,1,0
Marlon Brando,"1924, legendary America actor who starred in A Streetcar Named Desire and won awards for On the Waterfront and The Godfather.",Playful,"fun, cheerful",0.3,0,1,0,0
The South,Dixie: South of the MasonDixon line that is. They're not like folks 'round here ...,Untamed,"wild, natural",0.1,0,1,0,0
Rabbits,"Small, furry animals with long ears and short, fluffy tails. They like carrots and other vegetables.",Dramatic,"exciting, sensational, theatrical",0,1,-1,1,0
The Library,"Books, magazines, newspapers, tapes, and computers. SHHHH!",Worthless,"useless, meaningless",-0.4,0,-1,1,0
Tulips,A sign of spring!,Quick & Dirty,"cheap, shoddy, inferior",0,1,-1,1,1
Belt Buckles,Cowboys like them fancy and pilgrims like them plain.,Emotional,"passionate, moving, volatile",0,1,1,0,1
Whales,Very large animals that live in oceans. They squirt water from a blowhole.,Big,"large, huge",0.7,0,1,0,0
The Mafia,"A loose association of criminal groups, bound by a blood oath and sworn to secrecy. Of course, now we have to kill you.",Shallow,"superficial, trivial, not deep",0,0,-1,0,0
Soldiers,Men and women who serve in the military.,Temperamental,"moody, irritable, short tempered",0.2,0,-1,0,0
My Neighborhood,"""Please, won't you be my neighbor?"" Fred Rogers",Conceited,"vain, smug, self",0,0,-1,0,0
Gold Chains,"The more, the better.",Helpful,"useful, assisting",0,0,1,0,0
Fred & Ginger,Fred Astair & Ginger Rogers  tap dancing their way into the hearts of millions.,Hairy,"not bald, furry",0,0,-1,0,0
The Great Depression,Prozac was invented six decades too late.,Flavorful,"tasty, appetizing",-0.2,0,-1,1,0
Ben Stiller,"1965, American actor, director, and funny guy of Reality Bites, There's Something About Mary, and Meet The Parents",Modern,"contemporary, fashionable, trendy",0.2,0,1,0,0
Bunk Beds,"Two single beds, one on top of the other. I want the top!",Favorite,"preferred, desired",0,0,1,0,0
The Green Bay Packers,"Twelve time National Football League world champions, beloved by ""Cheeseheads"" everywhere. Are those brats done yet?",Hot & Heavy,"passionate, momentous, serious",0.2,1,1,0,1
Gold,Rare yellow metal used to make coins and jewelry.,Up & Coming,"promising, enterprising, gifted",0,0,1,0,0
Football,It's a ball AND a game.,Important,"valuable, worthwhile",0.1,0,1,0,0
Robots,They should make a robot that does homework.,Scented,"perfumed, fragrant",-0.1,1,1,1,0
Chopsticks,"A pair of small, slender sticks used for eating. Just try eating peas.",Little,"small, tiny",0,0,1,0,0
Stanley & Livingston,"Britons who explored Africa, I presume.",Quick,"fast, speedy",0,0,1,0,0
Smoke & Mirrors,That's how we do it!,Fascinating,"interesting, attractive",0.2,0,1,0,1
"Paris, France","The governmental, cultural and gastronomic capital of France. Or the world. Just ask the French.",Kind,"nice, helpful",-0.2,0,1,1,0
Weird Al Yankovic,"1959, American musical humorist, born Alfred Matthew Yankovic, which is nothing to laugh about . . .",Fat & Happy,"content, satisfied, assured",0.2,1,1,0,0
Russia,"The world's largest country, spanning 11 time zones. Famous for borscht, ballet, chess and vodka just don't mix them.",Powerful,"strong, forceful",0.4,0,1,0,0
Stunt People,When you need someone to take the fall.,Sultry,"sweltering, humid, sensual",0,1,1,0,0
Good & Plenty,"The licorice candy was first produced in 1893, making it the oldest branded candy in the United States.",Tasty,"flavorful, yummy",0.2,0,1,0,0
Duct Tape,"Allpurpose, ... all the time ...",Brains & Brawn,"solid, strong, capable",0.2,0,1,0,0
Bruises,The dark color of a bruise is caused by broken blood vessels under the skin.,Intense,"extreme, passionate, strained",0.3,0,-1,0,0
Bagpipes,A shrilltoned musical instrument consisting of a leather bag and pipes. Also available in plaid.,Confused,"muddled, bewildered, perplexed",0,1,1,1,0
Body Piercing,YOU STUCK WHAT? WHERE?,Crisp & Delicious,"tasty, crunchy, savory",0,0,1,0,0
Cowboys,Men who take care of cattle on a ranch.,Evil,"wicked, corrupt, depraved",0.2,0,-1,0,0
Watermelon,How far can you spit the seeds?,Swift,"quick, speedy, expeditious",0,0,1,0,0
Family Vacations,Dad? Dad? Are we there yet? Are we there yet? Are we? Huh? Dad?,Eternal,"timeless, immortal, perpetual",0,0,1,0,0
Graffiti,"Art in a can. We""re drawn to it.",Ridiculous,"preposterous, absurd, ludicrous",0.2,1,1,0,0
Chips & Dip,No double dipping!,Unhappy,"sad, sorrowful",-0.2,1,-1,1,0
In The Basement,You never know what you will find down there.,Violent,"furious, vicious, destructive",0.1,0,-1,0,0
Turkey & Stuffing,Get stuffed.,Naive,"unsophisticated, childlike, simple",0,0,1,0,0
Atlantis,Mythological city where the folks had that sinking feeling.,Smelly,"stinky, bad odor",0,0,-1,0,0
Horses,"Black Beauty, the Black Stallion, and Flicka are famous horses in literature.",Sick & Tired,"worn out, exhausted, exasperated",0.2,1,-1,0,1
Claude Monet,"1840-1926, French painter, regarded as one of the leaders on the impressionist movement.",Bold,"daring, courageous",0.3,0,1,0,0
My School,"""Be true to your school.""",Stinky,"smelly, bad odor",0.2,1,-1,0,0
Florence Nightengale,"1820-1910, English nurse and healthcare reformer. We've been singing her praises for years.",Short & Sweet,"precise, clear",0.2,0,1,0,0
Telemarketers,"""No, thank you ... No, I'm not interested ... No, I have to go now ...""",Mean,"unkind, nasty",0.4,0,-1,0,0
Chickens,"Hens and roosters. Cluckcluck, cockadoodle",Cruel & Unusual,"barbaric, merciless, unwarranted",0,1,-1,1,1
Chips & Salsa,Nacho average snack!,Skillful,"expert, talented",0,0,1,0,0
