Noun,Noun_Description,Adjective,Adjective_Synonyms,Rating,Is_Humorous,Sentiment,Is_Ironic,Is_Punny
Will Smith,"1968 , Successful American rap star, TV star and wildly successful motion picture star. He's got it all. We hate him.",Obnoxious,"offensive, repulsive, annoying",-0.5,0,-1,0,0
Rust,"""Rust never sleeps."" Neil Young",Idiotic,"foolish, dumb, moronic",0.1,0,0,0,0
The Electric Chair,"In U.S. prisons, an alternating current of about 2000 volts is used for electrocution.",Flirtatious,"brazen, saucy, forward",-0.9,1,-1,1,0
The 1960s,"Pros: the Moon Lsnding, the music. Cons: hippies who refuse to believe they're over.",Perfect,"faultless, consummate, exact",-0.5,0,0,1,0
James Dean,"1931-55, American actor of film, stage, and television. His role in Rebel Without a Cause helped define ""cool.""",Stereotyped,"pigeonholed, caricatured, characterized",0.65,0,0,0,0
Homework,"Finally, something to do during commercials.",Wild,"untamed, savage, ferocious",-0.8,1,0,1,0
The Dump,Just remember to recycle.,Feminine,"womanly, ladylike, unmanly",-0.9,1,0,1,0
Underwear,"""Let's keep this brief.""",Filthy,"dirty, foul, unclean",0.65,1,-1,0,0
Snakes,"Surprising, snakes move rapidly without legs. Also surprising, they find OTHER snakes attractive.",Feminine,"womanly, ladylike, unmanly",-0.6,1,0,1,0
The 1950s,"Pros: Barbies, barbecues, and bikinis. Cons: McCarthy, the Korean War, television.",Courageous,"brave, gallant, dauntless",0.3,0,1,0,0
Rappers,PAENTAL ADVISORY EXPLICIT CONTENT Hasn't seemed to hurt sales...,Feminine,"womanly, ladylike, unmanly",-0.6,0,0,1,0
Weddings,"""Ding, dong, the bells are gonna chime ..."" My Fair Lady",Profound,"deep, wise, thoughtful",0.8,0,1,0,0
Clint Eastwood,"1930, American film actor and director, past mayor of Carmel, California. Has earned fistfuls of dollars.",Creepy,"frightening, slithering, scary",-0.7,1,-1,1,0
Taking A Bath,Bathing facilities have been found in excavations in India from before 2000 BC. SoaponaRope hasn't.,Phony,"false, artificial, imitation",0.05,0,0,0,0
Socks,"""Black socks, they never get dirty, the longer you wear them the stronger they get."" Bill Harley",Ridiculous,"preposterous, absurd, ludicrous",-0.3,1,0,0,0
Billboards,"Only 1,254 miles to Wall Drug ...",Demanding,"difficult, exacting, bothersome",-0.5,1,0,0,0
Quentin Terantino,"1963 , Groundbreaking American director and actor. Nice movies, but not nearly enough blood.",Colorful,"vivid, brilliant, kaleidoscopic",0.7,0,1,0,0
Fur,The characteristic covering of mammals and people with money.,Ancient,"elderly, old, antique",0.25,0,0,0,0
Body Surfing,When you're too cheap to buy a surfboard.,Rich,"wealthy, affluent, moneyed",0.2,0,0,0,0
Babe Ruth,"1895-1948, American baseball legend, and one heck of a candy bar!",Influential,"powerful, prominent, important",0.9,0,1,0,0
Toys,"They're not just for kids, anymore ...",Stereotyped,"pigeonholed, caricatured, characterized",0.6,0,0,0,0
John F. Kennedy,"1917-63, 35th president of the US. ""Ask not what your country can do for you; ask what you can do for your country.""",Powerful,"strong, forceful, robust",0.9,0,1,0,0
Bangkok,Capital of Thailand. Location: near the Gulf of Siam. Population: five million. Reputation: seedy.,Graceful,"elegant, supple, limber",0.15,0,0,1,0
My Bank Account,Speaking of theoretical mathematics and unreal numbers ...,Ridiculous,"preposterous, absurd, ludicrous",0.25,1,0,0,0
Mirrors,"And now, a moment for reflection.",Misunderstood,"not grasped, not learned, not absorbed",-0.3,0,0,1,0
Challenger Explosion,"""Without a wish, without a will/ I stood upon that silent hill/ and stared into the sky ...""  Ralph Hodgeson",Filthy,"dirty, foul, unclean",-0.6,0,-1,0,0
Hillary Rodham Clinton,"1947 , New York Senator, lawyer, and former American First Lady.",Hilarious,"funny, witty, amusing",-0.5,1,0,1,0
Tyrannosaurus Rex,"Large carnivorous dinosaur of the latter part of the Mesozoic era. My, what big teeth you have!",Crazed,"insane, wild, deranged",0.5,0,-1,0,0
Barney,"Purple dinosaur. ""I love you, you love me, blah, blah, blah ... """,Visionary,"idealistic, prophetic, far",0.2,1,0,1,0
Machine Guns,"Automatic, rapidfire, repeating weapons. The Gatling gun was used as early as the American Civil War.",Radical,"unconventional, revolutionary, extreme",0.5,0,-1,0,0
Hot Lava,There's no better way to serve it.,Sexy,"arousing, appealing, seductive",0.2,1,0,1,1
The Green Bay Packers,"Twelve time National Football League world champions, beloved by ""Cheeseheads"" everywhere. Are those brats done yet?",Creative,"imaginative, artistic, original",0.2,0,0,0,0
High School Football,The whole ten yards!,Stereotyped,"pigeonholed, caricatured, characterized",0.7,0,0,0,0
The 1920s,Pros: the Jazz Age. Cons: Presidents who look like librarians.,Hardworking,"industrious, diligent, busy",0.6,0,1,0,0
Pond Scum,Simple organisms that carry out photosynthesis ... or spammers.,Smooth,"even, level, flat",-0.8,0,-1,1,0
Republicans,A U.S. political party symbolized by an elephant ... and don't forget it!,Rich,"wealthy, affluent, moneyed",0.6,0,0,0,0
Fuzz,Lint ... Policemen ... Whatever ...,Temperamental,"moody, irritable, short",-0.1,0,0,0,0
My Family,"They'll drive you nuts. As long as you do the same to them, it's all even.",Frightening,"scary, horrifying, awesome",-0.7,0,-1,1,0
Baked Potatoes,"Hot potato, couch potato, potato head, twice baked, halfbaked, ... whatever.",Powerful,"strong, forceful, robust",-0.4,1,0,0,0
Princess Di,"1962-97, beloved English Princess who died in an auto crash. ""Goodbye England's Rose ..."" Elton John",Honorable,"honest, just, virtuous",0.9,0,1,0,0
Oprah Winfrey,"1954 , Television talk show host, actor and allaround American success story.",Boisterous,"loud, rambunctious, rowdy",-0.3,0,0,1,0
Diamonds,The hard fact: they are just highly refractive crystalline allotropes.,Wicked,"evil, corrupt, depraved",0.4,0,-1,0,0
Bart Simpson,"Fictional animated character. Don't have a cow, man!""",Principled,"conscientious, ethical, scrupulous",-0.7,1,0,1,0
California,"Sacramento is its capital, Los Angeles its largest city. Here we come.",Profound,"deep, wise, thoughtful",0.25,0,0,0,0
Pumping Iron,When a great weight needs to be lifted.,Magical,"enchanting, miraculous, marvelous",-0.5,1,0,1,0
My Body,"Mine is a temple. Specifically, the Temple of Doom ...",Nerdy,"unhip, uncool, dorky",-0.6,0,0,1,0
Television,"Onehundred and sixtyfour channels, and nothing worth watching.",Offensive,"insulting, vulgar, attacking",0.45,0,-1,0,0
Hairballs,"Cough it up, kitty ...",Cheesy,"trashy, tawdry, far",-0.1,1,0,0,0
Oxygen,Oxygen was discovered in 1774. You'd think someone would have noticed it earlier.,Idiotic,"foolish, dumb, moronic",-0.2,0,0,0,0
Television,"Onehundred and sixtyfour channels, and nothing worth watching.",Hostile,"antagonistic, aggressive, warlike",0.3,0,-1,0,0
Electricity,The repulsive or attractive force between two stationary bodies. No problem unless one of those bodies is yours.,Visionary,"idealistic, prophetic, far",0.55,0,1,0,0
The 1920s,Pros: the Jazz Age. Cons: Presidents who look like librarians.,Speedy,"quick, rapid, fast",0.6,0,0,0,0
Lobster,Crustaceans closely related to freshwater crayfishes. Market price.,Misunderstood,"not grasped, not learned, not absorbed",0.2,1,0,0,0
Thunder,"""Here it comes again, Thunder and Lightning..."" ELO.",Soft,"malleable, pliable, mushy",-0.8,0,0,1,0
Skydiving,Parachute canopies are usually made from nylon fabric that lasts for thousands of jumps  whether the skydiver does or not.,Calm,"peaceful, tranquil, placid",-0.75,0,0,1,0
Robin Williams,"1952 , versatile American comedian and actor. The furriest man in show business.",Dainty,"delicate, fragile, thin",-0.5,0,0,1,0
Skydiving,Parachute canopies are usually made from nylon fabric that lasts for thousands of jumps  whether the skydiver does or not.,Delicious,"tasty, pleasing, appetizing",0.1,0,0,0,0
My Past,What's past is past ... unless you're a politician ...,Stunning,"astonishing, staggering, astounding",0.3,0,0,0,0
A Cheap Motel,No charge for the cockroaches.,Brilliant,"dazzling, gleaming, intelligent",-0.7,0,0,1,0
Computers,British mathematician Charles Babbage worked out the principles of the modern digital computer in the late 1800s.,Sensual,"tactile, pleasing, sexual",-0.9,1,0,1,0
Eleanor Roosevelt,"1884-1962, first lady, social activist, author, lecturer, and U.S. representative to the United Nations.",Nerdy,"unhip, uncool, dorky",-0.2,0,0,0,0
Mold,Fuzzy growth produced on organic matter by several types of fungi. Particularly attracted to students' refrigerators,Frightening,"scary, horrifying, awesome",0.5,0,-1,0,0
The Gulf War,"January  February, 1991. This six week conflict with Iraq was also known as ""Desert Storm.""",Cool,"chilly, hip, cold",-0.75,0,-1,1,0
Blizzard,"Extreme cold, strong winds, and a head snowfall. Also known as Canada.",Nerdy,"unhip, uncool, dorky",0.0,0,0,0,0
Quicksand,Just don't let it get you down.,Profound,"deep, wise, thoughtful",-0.2,0,0,0,0
Pit Bulls,"Any of several crossbreeds of bulldogs with terriers. Or, several radio hosts we could mention.",Selfish,"stingy, greedy, miserly",-0.7,0,-1,1,0
Superman,Fictional comic book superhero loved by Lois Lane and Jerry Seinfeld.,Normal,"usual, common, ordinary",-0.9,1,0,1,0
The Indy 500,Contestants must drive the full 500 miles. Bathroom breaks ARE allowed.,Smooth,"even, level, flat",0.4,0,0,0,0
King Henry VIII,"1491-1547, King of England, and founder of the Church of England. Six wives, no waiting.",Offensive,"insulting, vulgar, attacking",0.5,0,-1,0,0
Blizzard,"Extreme cold, strong winds, and a head snowfall. Also known as Canada.",Hopeless,"pessimistic, desperate, downhearted",0.35,0,-1,0,0
Snakes,"Surprising, snakes move rapidly without legs. Also surprising, they find OTHER snakes attractive.",Graceful,"elegant, supple, limber",0.7,0,1,0,0
Gravity,"In 1684, the law of gravitation was formulated by English physicist Sir Isaac Newton, who recognized the gravity of the situation.",Luxurious,"opulent, lavish, sumptuous",0.1,0,0,1,0
Bill Gates,"1955, chairman and chief software architect of Microsoft Corporation. A very rich guy.",Filthy,"dirty, foul, unclean",-0.2,0,-1,0,0
Having An Operation,What a cutup! A real stitch.,Brilliant,"dazzling, gleaming, intelligent",0.2,0,0,0,0
My First Kiss,"Sparks were flying. Of course, that could have been the braces ...",Swift,"quick, speedy, expeditious",0.5,0,1,0,0
The Eiffel Tower,Designed and built by French engineer Alexandre Gustave Eiffel for the Paris World's Fair of 1889.,Influential,"powerful, prominent, important",0.75,0,1,0,0
The Pyramids,"The Egyptian pyramids were built from about 2700 BC to about 1000 BC. Tut, tut, tut ...",Misunderstood,"not grasped, not learned, not absorbed",0.7,0,0,0,0
Computers,British mathematician Charles Babbage worked out the principles of the modern digital computer in the late 1800s.,Loud,"noisy, boisterous, deafening",-0.6,0,0,1,0
Commuting,The daily grind. And we're not talking coffee.,Ridiculous,"preposterous, absurd, ludicrous",0.6,0,-1,0,0
Europe,The Old Country ... except to people who live there.,Hostile,"antagonistic, aggressive, warlike",0.3,0,-1,0,0
Michael Jackson,"1958, American popular singer, dancer, and songwriter. Welcome to Neverland.",Radical,"unconventional, revolutionary, extreme",0.5,0,1,0,0
Cactus,"Require little care and exhibit bizarre forms. As such, they are often mistaken for Survivalists.",Swift,"quick, speedy, expeditious",-0.5,0,0,1,0
Going To School,Secondary education? It's elementary.,Soft,"malleable, pliable, mushy",-0.3,0,0,0,0
"Martin Luther King, Jr.","1929-68, American civil rights leader and advocate of nonviolent resistance. Was assassinated for his efforts.",Luxurious,"opulent, lavish, sumptuous",-0.7,0,-1,1,0
The Renaissance,"Beginning in the 1300s, started in Italy and spread across Europe. Kind of like Espresso bars ...",Hardworking,"industrious, diligent, busy",0.7,0,1,0,0
Plastic,Giant molecules of organic polymeric materials. Bags and bags of the stuff.,Extreme,"exceptional, superlative, radical",-0.4,0,-1,0,0
The Grateful Dead,"American rock band, founded in 1965 and best known for their ""Dead Head"" fans.",Filthy,"dirty, foul, unclean",-0.2,0,-1,0,0
Brad Pitt,"1963 , American actor and heartthrob.",Important,"significant, substantial, momentous",0.35,0,0,0,0
Rock Concert,If it's too loud  you're too old.,Masculine,"male, manly, virile",0.45,0,0,0,0
The Beach,"A day at the beach is no day at the beach, ya know?",Outrageous,"shocking, scandalous, disgraceful",-0.4,0,0,0,0
Steven Spielberg,"1947, American movie director and producer, and overachiever. From E.T. to Schindler's List... too many to list.",Smooth,"even, level, flat",0.3,0,0,0,0
Chains,Gold or iron: name your shackles.,Animated,"lively, exuberant, spirited",-0.7,0,-1,0,0
My Job,Love it or leave it.,Timeless,"classic, ageless, well",-0.5,0,0,0,0
My Family,"They'll drive you nuts. As long as you do the same to them, it's all even.",Influential,"powerful, prominent, important",0.6,0,1,0,0
Ghosts,Nonmaterial embodiments or the essence of organisms (mostly human beings). Quite spirited,Lucky,"fortunate, serendipitous, favored",-0.4,0,0,1,0
Mud,Water. Dirt. You do the math.,Frightening,"scary, horrifying, awesome",0.2,0,-1,0,0
The Rolling Stones,"British ""bad boy"" rock band formed in 1962. Still touring?",Delicious,"tasty, pleasing, appetizing",0.25,0,1,0,0
Pumping Iron,When a great weight needs to be lifted.,Scary,"frightening, absurd, ugly",0.4,0,-1,0,0
The Electric Chair,"In U.S. prisons, an alternating current of about 2000 volts is used for electrocution.",Frazzled,"exhausted, frayed, worn",0.5,0,-1,0,0
Terrorist Attack,We will never negotiate with terrorists.,Luxurious,"opulent, lavish, sumptuous",-0.8,0,-1,1,0
The Renaissance,"Beginning in the 1300s, started in Italy and spread across Europe. Kind of like Espresso bars ...",Loud,"noisy, boisterous, deafening",-0.2,0,0,0,0
Getting A Hug,Hmmmm ... nice.,Scary,"frightening, absurd, ugly",-0.7,0,-1,1,0
The JFK Assassination,"November 22, 1963. The funeral of President Kennedy was watched on television by millions around the world.",Ancient,"elderly, old, antique",-0.8,0,-1,1,0
Mexico,Federal republic in North America. The capital and largest city is Mexico City.,Delicate,"dainty, tender, elegant",-0.3,0,0,0,0
My High School Prom,As if adolescence isn't awkward and painful enough ...,Boring,"dull, tedious, monotonous",-0.3,0,-1,0,0
Chains,Gold or iron: name your shackles.,Perfect,"faultless, consummate, exact",-0.5,0,-1,0,0
Chains,Gold or iron: name your shackles.,Wicked,"evil, corrupt, depraved",0.5,0,-1,0,0
Having An Operation,What a cutup! A real stitch.,Arrogant,"egotistical, overconfident, conceited",-0.2,0,-1,0,0
Claude Monet,"1840-1926, French painter, regarded as one of the leaders on the impressionist movement.",Rich,"wealthy, affluent, moneyed",0.75,0,1,0,0
Barney,"Purple dinosaur. ""I love you, you love me, blah, blah, blah ... """,Primitive,"prehistoric, primal, uncivilized",0.2,1,0,0,0
My First Kiss,"Sparks were flying. Of course, that could have been the braces ...",Perfect,"faultless, consummate, exact",-0.2,0,1,0,0
Lucille Ball,"1911-89, American actor and comedian. You love Lucy? I love Lucy.",Industrious,"diligent, busy, hard",0.8,0,1,0,0
Stephen King,"1947 , American author of horror novels, who's sold more than 100 million copies of his books. Talk about frightening ...",Odd,"different, eccentric, bizarre",0.6,0,0,0,0
Baby Showers,Baby showers may bring flowers ...,Fabulous,"marvelous, wonderful, incredible",0.7,0,1,0,0
Snow,Transparent ice crystals which form around dust and other small particles. Get my drift?,Primitive,"prehistoric, primal, uncivilized",0.1,0,0,0,0
John F. Kennedy,"1917-63, 35th president of the US. ""Ask not what your country can do for you; ask what you can do for your country.""",Horrifying,"offensive, abominable, disgusting",0.3,0,-1,0,0
William Shakespeare,"1564-1616, The English poet and playwright. And all the world IS a stage ...",Arrogant,"egotistical, overconfident, conceited",-0.2,0,-1,0,0
Weddings,"""Ding, dong, the bells are gonna chime ..."" My Fair Lady",Fabulous,"marvelous, wonderful, incredible",0.85,0,1,0,0
Bubbles,"""Tiny bubbles, in the wine/ Tiny bubble make me feel fine ..."" Don Ho",Graceful,"elegant, supple, limber",0.6,0,1,0,0
Thomas Edison,"18471931, American inventor, developed a light bulb, generator, soundrecorder, and motion picture projector. Show off.",Wicked,"evil, corrupt, depraved",0.35,0,-1,0,0
The South,Dixie: South of the MasonDixon line that is. They're not like folks 'round here ...,Influential,"powerful, prominent, important",0.6,0,0,0,0
Barney,"Purple dinosaur. ""I love you, you love me, blah, blah, blah ... """,Timeless,"classic, ageless, well",-0.2,0,1,0,0
A Cheap Motel,No charge for the cockroaches.,Crazed,"insane, wild, deranged",0.2,0,-1,0,0
Napoleon Bonaparte,"1769-1821, Emperor of France. Met his Waterloo at the Battle of Waterloo. The name should have tipped him off ...",Mischievous,"naughty, prankish, sly",-0.5,0,0,1,0
Discovering America,"1492, Christopher Columbus discovered that America was discovered centuries before he arrived.",Adorable,"lovable, charming, delightful",-0.9,0,-1,1,0
Hawaii,"The eight islands that make up America's 50th state entered the Union on August 21, 1959.",Scary,"frightening, absurd, ugly",-0.7,0,0,0,0
Tree Huggers,"""Environmentalists"" to the left. ""Wackos"" to the right.",Industrious,"diligent, busy, hard",0.2,0,0,0,0
The Marx Brothers,"Chico, Groucho, Harpo, amd sometimes Zeppo. Their 1930s films include Duck Soup and Animal Crackers.",Ancient,"elderly, old, antique",-0.6,0,0,1,0
The French Riviera,"Holiday home of the rich, the famous, and the halfnaked.",Courageous,"brave, gallant, dauntless",-0.5,0,0,0,0
A Sunset,The sun never set on the British Empire ... because God didn't trust the English in the dark.,Courageous,"brave, gallant, dauntless",-0.2,0,1,0,0
Thomas Edison,"18471931, American inventor, developed a light bulb, generator, soundrecorder, and motion picture projector. Show off.",Charming,"captivating, enchanting, fascinating",-0.2,0,0,0,0
Mark Twain,"1835-1910, American writer and humorist, best known for the adventures of Tom Sawyer and Huckleberry Finn.",Important,"significant, substantial, momentous",0.8,0,1,0,0
Hooligans,"""Hey! Kids! Get outta my yard!""",Outrageous,"shocking, scandalous, disgraceful",0.9,0,-1,0,0
Pit Bulls,"Any of several crossbreeds of bulldogs with terriers. Or, several radio hosts we could mention.",Radical,"unconventional, revolutionary, extreme",0.25,0,0,0,0
Firestorms,"Some severe wildfires require more than 10,000 firefighters. And, wouldn't ya know it, some idiot parked in front of the hydrant!",Powerful,"strong, forceful, robust",1.0,0,-1,0,0
